geoid,townname,townname
5001300700,Alburg,Alburgh
5000902162,Avery's,Avery's Gore
5002303250,Barre,Barre Town
5002303175,Barre,Barre City
5000710300,Buels,Buels Gore
5001123875,Enosburg,Enosburgh
5001948925,Newport,Newport Town
5001948850,Newport,Newport City
5002161225,Rutland,Rutland City
5002161300,Rutland,Rutland Town
5001161750,St. Albans,St. Albans Town
5001161675,St. Albans,St. Albans City
5000976337,Warner's,Warner's Grant
5000976562,Warren's,Warren's Gore
